Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
US,US-AK,AK-AT LARGE,263000,235900,18829750,461375,1758300,6092000,1761000,78532500,1020700,1122750,2498250,206400
US,US-AL,AL-1,336800,303800,24150500,594225,2264400,7765000,2269000,101467500,1307900,1449075,3211500,261950
US,US-AL,AL-2,320900,288050,22906750,563325,2145400,7369000,2151000,96052500,1241100,1371300,3039000,248700
US,US-AL,AL-3,318100,286950,22830000,561200,2138900,7337000,2143000,95835000,1235700,1368525,3032250,247400
US,US-AL,AL-4,385600,348850,27633250,682275,2600400,8879000,2606000,116925000,1499700,1666650,3689250,299000
US,US-AL,AL-5,363400,327850,26074000,641175,2443800,8384000,2448500,109545000,1412100,1564200,3466500,282800
US,US-AL,AL-6,515500,465250,36998000,909875,3468500,11903000,3474500,155542500,2004600,2220450,4920750,401350
US,US-AL,AL-7,301700,272200,21614500,532375,2028000,6945000,2033000,90795000,1170800,1298175,2874750,234350
US,US-AR,AR-1,272900,246250,19575000,481650,1835700,6293000,1839500,82290000,1060300,1174500,2603250,212200
US,US-AR,AR-2,495600,445150,35537000,870650,3316200,11382000,3324000,148125000,1916400,2117025,4693500,384850
US,US-AR,AR-3,432900,390900,31041750,764500,2913500,9979000,2919500,130665000,1682100,1865100,4132500,336500
US,US-AR,AR-4,263900,238250,18922500,465950,1775700,6084000,1779500,79620000,1025400,1136475,2518500,205150
US,US-AZ,AZ-1,1083800,961100,78380500,1879850,7159400,24800000,7173500,317107500,4152200,4538475,10088250,841900
US,US-AZ,AZ-2,892600,789300,64721250,1543825,5879400,20389000,5890500,260115000,3411900,3721950,8274750,692850
US,US-AZ,AZ-3,696900,617500,50469000,1207775,4600400,15935000,4608500,203655000,2667700,2914875,6477000,541000
US,US-AZ,AZ-4,1012800,900000,73393500,1760275,6708700,23259000,6717000,297682500,3894000,4255200,9454500,788000
US,US-AZ,AZ-5,734400,651650,53234750,1274525,4856900,16837000,4863500,215295000,2818500,3078375,6839250,570900
US,US-AZ,AZ-6,1198800,1064500,86875000,2082100,7935000,27512000,7945000,351997500,4605600,5032200,11175750,932550
US,US-AZ,AZ-7,1638900,1447200,118575250,2830575,10768900,37253000,10800500,475162500,6235200,6816675,15144750,1267450
US,US-AZ,AZ-8,856600,760200,62080750,1486875,5665800,19634000,5674000,251137500,3287100,3591900,7981500,665850
US,US-AZ,AZ-9,853700,757550,61854500,1481725,5646000,19551000,5654000,250185000,3274100,3579750,7953750,663500
US,US-CA,CA-1,337700,303750,24261000,594125,2265300,7814000,2268500,101340000,1312400,1448325,3215250,263900
US,US-CA,CA-10,884600,780550,64012000,1526650,5808200,20061000,5825500,256402500,3363400,3676725,8173500,683650
US,US-CA,CA-11,545100,491200,39122750,960700,3662200,12587000,3668000,164107500,2118400,2343300,5195250,425000
US,US-CA,CA-12,1333200,1204400,95494250,2355525,8973000,30691000,8995500,402285000,5175900,5749125,12729750,1034750
US,US-CA,CA-13,728700,656250,52280000,1283525,4891600,16807000,4901000,218970000,2828000,3130500,6941250,567750
US,US-CA,CA-14,535800,483350,38467000,945300,3603400,12374000,3609500,161490000,2083500,2306550,5114250,417750
US,US-CA,CA-15,441000,397450,31685000,777350,2963900,10188000,2968000,132855000,1714500,1896825,4203750,343800
US,US-CA,CA-16,331200,297850,23784000,582550,2219400,7629000,2224500,99232500,1282900,1419225,3146250,257700
US,US-CA,CA-17,1071200,967800,76953250,1892825,7216900,24721000,7228500,324105000,4169700,4624275,10237500,833250
US,US-CA,CA-18,590400,531950,42416750,1040425,3966600,13646000,3972500,177675000,2295600,2537850,5630250,461000
US,US-CA,CA-19,424500,382750,30507000,748600,2854300,9809000,2858500,127957500,1650800,1827000,4049250,330950
US,US-CA,CA-2,490000,441600,35206250,863675,3293200,11338000,3297500,147570000,1906700,2106900,4674750,382850
US,US-CA,CA-20,482400,434950,34615500,850700,3242600,11137000,3248500,145305000,1874700,2075175,4602750,376000
US,US-CA,CA-21,417100,373550,30072000,730600,2782900,9588000,2789000,123967500,1610500,1773975,3933750,324200
US,US-CA,CA-22,476900,427650,34312000,836425,3186700,10967000,3193500,142230000,1843500,2034975,4512000,370850
US,US-CA,CA-23,297800,267450,21436750,523075,1993600,6871000,1997000,89032500,1154600,1272975,2823000,232200
US,US-CA,CA-24,442200,398200,31772500,778825,2969100,10218000,2973500,132907500,1718200,1899300,4212750,345050
US,US-CA,CA-25,966600,858650,70485500,1679425,6405500,22281000,6408000,284940000,3730000,4060200,9024000,752200
US,US-CA,CA-26,411800,370350,29615250,724325,2760900,9501000,2765500,123487500,1597500,1764525,3913500,320950
US,US-CA,CA-27,468200,421600,33633750,824575,3143100,10808000,3148500,140677500,1818200,2010750,4458000,364950
US,US-CA,CA-28,657300,591200,47228250,1156250,4407100,15165000,4414500,197085000,2549800,2818350,6251250,512550
US,US-CA,CA-29,671000,604800,48161000,1182875,4507600,15454000,4517000,201960000,2603300,2885325,6392250,521650
US,US-CA,CA-3,346800,312350,24919500,610925,2329300,8016000,2332500,104287500,1348000,1490175,3304500,270700
US,US-CA,CA-30,582500,522300,41930750,1021550,3892900,13413000,3900000,173760000,2253700,2484825,5514750,453750
US,US-CA,CA-31,524900,469750,37909250,918725,3500200,12060000,3507500,156045000,2025100,2232375,4948500,407900
US,US-CA,CA-32,347600,311800,25017000,609850,2323900,7995000,2328500,103732500,1344000,1483500,3288750,270250
US,US-CA,CA-33,686100,617850,49287500,1208375,4606600,15853000,4614000,206197500,2665800,2947200,6538500,535550
US,US-CA,CA-34,627700,565450,45003500,1105950,4213000,14448000,4223000,188490000,2432700,2696700,5973750,487650
US,US-CA,CA-35,487400,438600,35041000,857800,3269900,11229000,3275500,146460000,1889500,2091900,4631250,378750
US,US-CA,CA-36,486100,438000,34949250,856700,3266800,11243000,3271000,146347500,1890800,2089425,4632750,379050
US,US-CA,CA-37,493200,444300,35454500,869025,3313600,11393000,3318000,148425000,1916700,2120400,4699500,384600
US,US-CA,CA-38,369000,332200,26534000,649675,2476600,8507000,2481000,110910000,1432000,1583925,3510000,287250
US,US-CA,CA-39,931300,818950,67409750,1601800,6091300,21063000,6111500,267990000,3527500,3848475,8559000,718650
US,US-CA,CA-4,449200,404150,32296750,790425,3013600,10384000,3018000,134835000,1745400,1926150,4274250,350850
US,US-CA,CA-40,323100,291150,23201250,569400,2170100,7444000,2174500,97185000,1253300,1388775,3075750,251250
US,US-CA,CA-41,409200,368350,29373000,720475,2745700,9437000,2751000,122842500,1587300,1756875,3894000,318650
