Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
US,US-MA,MA-2,506000,455300,36317750,890450,3393300,11659000,3400000,151807500,1961500,2169525,4812750,394050
US,US-MA,MA-3,587700,527450,42166500,1031625,3930400,13493000,3939000,175687500,2270600,2510325,5571000,456850
US,US-MA,MA-4,515200,463800,36984750,907075,3457400,11882000,3463500,154762500,1999100,2211225,4905000,401500
US,US-MA,MA-5,695900,626250,49908000,1224825,4667400,16035000,4677000,208897500,2698100,2985300,6622500,542150
US,US-MA,MA-6,550800,495700,39523750,969500,3694900,12694000,3702000,165412500,2136000,2362950,5241750,429050
US,US-MA,MA-7,680900,610050,48698750,1193100,4542400,15610000,4555000,202365000,2624800,2900850,6436500,529000
US,US-MA,MA-8,1171900,1057900,83997250,2069000,7884000,26964000,7902000,353887500,4545700,5049975,11181750,908950
US,US-MA,MA-9,522300,469950,37481250,919175,3503200,12050000,3509500,156825000,2026900,2240025,4971000,407650
US,US-MD,MD-1,286000,257150,20532750,502975,1917700,6617000,1920000,85777500,1111100,1225725,2720250,223650
US,US-MD,MD-2,410000,369150,29459750,721975,2753000,9481000,2756500,123307500,1593300,1760550,3904500,320150
US,US-MD,MD-3,369400,332550,26532000,650425,2479900,8541000,2483500,111060000,1435300,1585950,3518250,288500
US,US-MD,MD-4,341300,307500,24569250,601425,2295100,7918000,2296000,102892500,1328900,1468200,3250500,266800
US,US-MD,MD-5,530300,479050,38532500,936950,3585300,12471000,3576000,161662500,2087400,2292750,5064000,417700
US,US-MD,MD-6,490700,437850,35277250,856375,3261400,11246000,3269000,145185000,1887400,2078325,4609500,380900
US,US-MD,MD-7,249400,224400,17913250,438900,1673500,5766000,1675500,74917500,968600,1070100,2373750,194850
US,US-MD,MD-8,681300,612750,48957250,1198425,4569800,15750000,4575500,204502500,2645800,2922450,6480750,531600
US,US-ME,ME-1,1032600,928500,74857750,1816025,6935100,23989000,6932500,311340000,4025700,4426050,9810000,806950
US,US-ME,ME-2,1037300,927850,75065500,1814775,6923300,23934000,6927000,309435000,4013800,4408875,9783000,807650
US,US-MI,MI-1,495500,445750,35897750,871850,3330200,11545000,3328000,149527500,1936600,2124300,4717500,388350
US,US-MI,MI-10,530700,478200,38434250,935325,3573300,12367000,3570500,160695000,2076600,2280975,5065500,415650
US,US-MI,MI-11,1367300,1223150,99203000,2392300,9127400,31637000,9130500,407400000,5303300,5805900,12893250,1067000
US,US-MI,MI-12,981000,881000,70535250,1723125,6567000,22600000,6578500,293422500,3800800,4189500,9304500,764450
US,US-MI,MI-13,578600,519400,41615000,1015850,3871100,13295000,3878500,172852500,2237700,2468175,5475000,449450
US,US-MI,MI-14,715800,642350,51612750,1256275,4790500,16482000,4796000,214147500,2772600,3053625,6774750,556950
US,US-MI,MI-2,615900,554200,44602500,1083950,4139100,14316000,4137500,185775000,2403900,2640600,5862000,481650
US,US-MI,MI-3,708500,637550,51267000,1246975,4761200,16472000,4760000,213630000,2765700,3037875,6744750,554250
US,US-MI,MI-4,481700,434100,34853750,849025,3242800,11226000,3241000,145740000,1884300,2070750,4598250,377300
US,US-MI,MI-5,536600,482900,38781500,944475,3606000,12476000,3605000,161880000,2094800,2301375,5109750,419950
US,US-MI,MI-6,562500,503700,40707000,985125,3757700,12998000,3760000,167947500,2180900,2393100,5316750,438800
US,US-MI,MI-7,534700,480050,38555250,938925,3581800,12379000,3584000,160177500,2077600,2284500,5073000,417600
US,US-MI,MI-8,1066200,949000,77214500,1856125,7071100,24463000,7084000,313417500,4098400,4487400,9969000,828100
US,US-MI,MI-9,718400,645800,51768000,1263125,4818100,16628000,4822000,215865000,2794100,3074850,6832500,561550
US,US-MN,MN-1,855700,755350,62067000,1477325,5621100,19433000,5637500,248002500,3255300,3556500,7905000,661550
US,US-MN,MN-2,834400,739850,60419250,1447025,5508700,19034000,5522500,243817500,3190300,3492825,7761000,646550
US,US-MN,MN-3,668700,595800,48342750,1165250,4440800,15338000,4447500,197655000,2574400,2823075,6273750,519850
US,US-MN,MN-4,793500,711350,57291250,1391325,5306400,18292000,5311500,237180000,3073700,3383775,7515000,618500
US,US-MN,MN-5,1585400,1421000,114064750,2779225,10589200,36433000,10610500,472650000,6124900,6753975,14990250,1232150
US,US-MN,MN-6,383800,344300,27650750,673375,2567500,8852000,2570500,114735000,1487300,1637775,3635250,299150
US,US-MN,MN-7,427800,382550,30799000,748225,2850900,9829000,2856500,127050000,1650600,1816050,4033500,332550
US,US-MN,MN-8,512100,454550,36955000,889000,3384900,11690000,3393000,150127500,1960300,2149425,4779750,397300
US,US-MO,MO-1,1554100,1373150,111907750,2685600,10217100,35245000,10248000,450967500,5910900,6465825,14395500,1202750
US,US-MO,MO-2,857700,754900,61817500,1476500,5615400,19411000,5633000,247155000,3251000,3547200,7898250,663100
US,US-MO,MO-3,709700,626200,51115250,1224725,4659400,16094000,4673000,205537500,2697400,2946000,6562500,549500
US,US-MO,MO-4,712000,629600,51275750,1231375,4685700,16178000,4698500,206962500,2712100,2966100,6606000,551650
US,US-MO,MO-5,1150900,1020400,82786750,1995750,7595200,26170000,7616000,336180000,4392600,4813050,10712250,891550
US,US-MO,MO-6,628700,555550,45258500,1086575,4134900,14277000,4146000,182662500,2393600,2616900,5828250,487050
US,US-MO,MO-7,778800,689450,56028500,1348475,5131400,17695000,5146000,226845000,2968800,3249900,7234500,603250
US,US-MO,MO-8,560800,495450,40375500,969050,3687100,12733000,3697500,162750000,2134300,2332650,5196000,434500
US,US-MS,MS-1,469100,420250,33423500,821875,3126500,10775000,3137500,138697500,1806500,1990800,4429500,366350
US,US-MS,MS-2,364400,326550,25981500,638650,2430100,8367000,2438000,107820000,1403400,1547325,3436500,284100
US,US-MS,MS-3,534300,479150,38096000,937125,3566000,12269000,3578000,158362500,2059100,2271750,5046000,416450
US,US-MS,MS-4,539100,482650,38416750,944000,3591200,12395000,3603500,159292500,2077200,2286600,5088000,421600
US,US-MT,MT-AT LARGE,2068800,1816450,150214750,3552750,13527600,47028000,13552000,595845000,7857300,8528175,19007250,1606100
US,US-NC,NC-1,570100,514100,40971000,1005450,3834200,13186000,3839000,171892500,2217800,2453700,5438250,444400
US,US-NC,NC-10,417900,376800,30039750,736975,2810600,9672000,2814000,125955000,1626500,1798275,3983250,325800
US,US-NC,NC-11,639100,577100,46153500,1128725,4310700,14898000,4309000,193830000,2502800,2757375,6107250,500450
US,US-NC,NC-12,1328000,1195450,95367750,2338025,8906400,30592000,8927000,398595000,5150000,5693250,12616500,1033000
US,US-NC,NC-13,546800,490300,39528750,958950,3656300,12612000,3661000,163132500,2118100,2330025,5164500,425550
US,US-NC,NC-2,780000,702800,56330250,1374525,5243800,18069000,5248000,235080000,3038400,3349725,7420500,608100
US,US-NC,NC-3,414100,373600,29787000,730750,2788500,9620000,2790000,125077500,1616400,1784100,3955500,323850
US,US-NC,NC-4,937900,847300,67466750,1657200,6320900,21705000,6328000,283965000,3654800,4046700,8962500,730900
US,US-NC,NC-5,560100,505600,40449250,988875,3776100,13022000,3775500,169755000,2189800,2414700,5351250,437800
US,US-NC,NC-6,533500,481400,38532500,941550,3595200,12403000,3595000,161527500,2084900,2298750,5093250,416900
US,US-NC,NC-7,567800,512850,40998000,1003050,3830600,13224000,3829500,172275000,2222700,2450625,5430750,444500
US,US-NC,NC-8,550500,495950,39591750,969950,3698200,12730000,3703500,165622500,2141000,2364450,5241000,429300
US,US-NC,NC-9,1081000,973350,77647250,1903700,7228800,25093000,7264000,322282500,4216500,4616175,10340250,862350
US,US-ND,ND-AT LARGE,974600,850500,70276000,1663500,6321000,21900000,6345000,276945000,3661800,3978600,8877750,751750
US,US-NE,NE-1,238000,213600,17139750,417775,1592800,5516000,1595000,71137500,924700,1016775,2259000,186350
US,US-NE,NE-2,508100,452700,36585250,885450,3371900,11673000,3379500,149655000,1955500,2144850,4771500,396000
US,US-NE,NE-3,166800,149600,12011750,292550,1115100,3861000,1117000,49747500,647300,711300,1581750,130650
US,US-NH,NH-1,2100400,1896100,149664500,3708300,14107200,48244000,14163500,631725000,8126400,9030150,20075250,1632750
US,US-NH,NH-2,1834300,1655850,130814500,3238425,12320500,42146000,12369000,551782500,7099400,7886175,17535000,1426000
US,US-NJ,NJ-1,505000,452950,36334500,885875,3376700,11661000,3381500,150622500,1956500,2153625,4787250,394050
US,US-NJ,NJ-10,424100,378650,30566000,740550,2821400,9759000,2826500,125265000,1635100,1796025,3984000,330250
US,US-NJ,NJ-11,651900,579150,47025000,1132750,4312200,14931000,4323000,190740000,2500000,2736600,6078000,506650
US,US-NJ,NJ-12,413000,368900,29752750,721525,2749000,9508000,2754000,122175000,1593600,1750200,3887250,322100
US,US-NJ,NJ-2,393000,351550,28284500,687550,2620000,9067000,2624500,116452500,1518600,1668525,3709500,306950
US,US-NJ,NJ-3,723800,642850,52125000,1257300,4786100,16562000,4798500,211627500,2771800,3036825,6756750,562400
US,US-NJ,NJ-4,431900,385500,31137250,754000,2872500,9941000,2878000,127537500,1665400,1827225,4059000,336650
US,US-NJ,NJ-5,456600,407700,32933250,797450,3039200,10516000,3043500,135187500,1762500,1934400,4295250,355850
US,US-NJ,NJ-6,400800,358650,28857250,701500,2673100,9241000,2678000,118912500,1549300,1703475,3780750,312600
US,US-NJ,NJ-7,880600,776350,63672250,1518450,5776900,20000000,5793500,254805000,3347500,3654750,8139750,682200
US,US-NJ,NJ-8,788800,706150,56620500,1381150,5259500,18132000,5272500,233782500,3042700,3354975,7442250,613600
US,US-NJ,NJ-9,603500,541150,43352500,1058450,4032200,13908000,4041000,179625000,2333800,2573625,5711250,470250
US,US-NM,NM-1,354300,316300,25530750,618625,2357400,8170000,2361000,104902500,1368500,1501125,3336000,276900
US,US-NM,NM-2,604000,535900,43774250,1048200,3990700,13840000,4000000,176467500,2314400,2530950,5622750,469750
US,US-NM,NM-3,333000,297300,24046500,581525,2217300,7692000,2219500,98767500,1287800,1411500,3136500,260450
US,US-NV,NV-1,2433000,2168050,175223750,4240325,16123900,55428000,16184000,714277500,9316800,10239675,22735500,1880850
US,US-NV,NV-2,1461900,1298050,105231000,2538725,9652600,33252000,9688500,426847500,5582600,6119400,13623750,1132600
US,US-NV,NV-3,2137000,1903750,154060000,3723425,14159200,48750000,14211000,627427500,8187800,8994300,19989750,1655800
US,US-NV,NV-4,1139900,1017400,82070750,1989825,7566800,26039000,7595000,335767500,4375100,4811175,10698750,884150
US,US-NY,NY-1,487100,436250,35177000,853275,3253700,11272000,3257000,145245000,1888800,2074425,4602750,380450
US,US-NY,NY-10,677700,608150,48570500,1189450,4529700,15594000,4541500,201855000,2619000,2894850,6422250,527300
US,US-NY,NY-11,568400,509200,40892750,995875,3792600,13071000,3802000,168870000,2193800,2418825,5367000,441400
US,US-NY,NY-12,774000,693850,55433500,1357100,5168700,17798000,5181000,230092500,2989100,3302475,7326750,602050
US,US-NY,NY-13,426400,382650,30546500,748350,2850400,9822000,2857000,127035000,1649100,1821300,4042500,332300
US,US-NY,NY-14,451300,405750,32447250,793625,3026100,10439000,3030000,135337500,1752400,1934850,4289250,352050
US,US-NY,NY-15,430100,386300,30847250,755550,2878800,9921000,2884500,128527500,1665600,1840350,4080750,335100
US,US-NY,NY-16,450000,405800,32618500,793700,3033800,10543000,3029500,136455000,1766100,1939275,4290750,353750
US,US-NY,NY-17,388200,349050,27944250,682700,2604300,8999000,2606500,116587500,1509900,1664475,3691500,303550
US,US-NY,NY-18,377900,339000,27190000,663050,2527700,8732000,2531000,112837500,1464500,1613625,3581250,294950
US,US-NY,NY-19,724400,640750,52416500,1253175,4768500,16508000,4782000,210285000,2762400,3019200,6714000,561500
US,US-NY,NY-2,304600,273800,21910000,535475,2041600,7051000,2044500,91312500,1183100,1304700,2894250,237800
US,US-NY,NY-20,424500,379550,30547250,742350,2828100,9772000,2833500,125842500,1639000,1802550,4003500,330950
US,US-NY,NY-21,268400,240150,19291500,469700,1789300,6187000,1793000,79650000,1037100,1141125,2533500,209100
US,US-NY,NY-22,667700,590050,48176250,1154100,4389300,15192000,4404000,193492500,2542900,2778900,6177750,516700
US,US-NY,NY-23,315900,281700,22704500,551000,2098100,7252000,2103000,93112500,1216000,1335450,2970000,246100
US,US-NY,NY-24,431300,383900,31066750,750800,2858000,9885000,2865500,126637500,1656000,1817550,4040250,335150
US,US-NY,NY-25,308300,276500,22189250,540775,2061800,7129000,2064500,92040000,1195600,1315950,2922000,241050
US,US-NY,NY-26,335400,301000,24096000,588750,2244100,7753000,2247500,100155000,1300900,1433100,3183750,262050
US,US-NY,NY-27,211900,190150,15240750,371950,1418200,4904000,1420000,63330000,822600,905325,2011500,165800
US,US-NY,NY-3,401100,360000,28859750,704150,2684000,9268000,2688000,119857500,1555000,1713750,3803250,313150
US,US-NY,NY-4,389200,349700,27989750,684000,2607600,9002000,2611500,116527500,1510600,1665975,3696000,303850
US,US-NY,NY-5,348400,313200,25058500,612550,2335900,8060000,2338500,104460000,1352800,1493325,3311250,271850
US,US-NY,NY-6,308800,277750,22204000,543250,2071600,7142000,2074000,92700000,1199400,1324875,2936250,240850
US,US-NY,NY-7,569100,511400,40789250,1000275,3810400,13117000,3819000,170085000,2203600,2436600,5407500,443500
US,US-NY,NY-8,229100,205750,16460000,402375,1533700,5290000,1536000,68505000,887900,980175,2173500,178600
US,US-NY,NY-9,380600,342400,27480500,669725,2557100,8839000,2557000,114682500,1483800,1634700,3624000,297650
US,US-OH,OH-1,799200,709800,57615000,1388250,5286300,18243000,5298000,234562500,3060900,3355200,7458750,620150
US,US-OH,OH-10,390600,350750,28083500,686050,2615300,9000000,2619000,116917500,1513300,1669500,3705750,304400
US,US-OH,OH-11,507200,456250,36454750,892400,3402800,11699000,3407000,152235000,1968100,2174550,4824750,395450
US,US-OH,OH-12,698000,619000,49600750,1210650,4605800,15882000,4619000,203872500,2662300,2921775,6490500,541050
US,US-OH,OH-13,337100,302700,24248500,592050,2256700,7768000,2260500,100800000,1305700,1440450,3196500,262600
US,US-OH,OH-14,455600,409900,32803500,801650,3057300,10529000,3060500,136822500,1770100,1952400,4332000,355400
US,US-OH,OH-15,718200,641200,51486250,1254125,4774900,16423000,4787000,212445000,2760100,3039000,6750000,557000
US,US-OH,OH-16,393300,353650,28277000,691675,2637100,9082000,2640500,117952500,1526400,1684275,3738750,306750
US,US-OH,OH-2,545000,488300,39119000,955000,3639600,12540000,3645500,162427500,2107100,2320950,5151000,424250
US,US-OH,OH-3,538500,483050,38552750,944800,3598000,12345000,3607000,160447500,2077300,2295150,5091000,417800
US,US-OH,OH-4,397200,356350,28470250,697000,2655800,9143000,2661000,118455000,1536400,1695225,3762000,309150
US,US-OH,OH-5,355200,319600,25509000,625075,2382700,8191000,2386500,106552500,1377900,1522575,3376500,276650
US,US-OH,OH-6,276000,247500,19865000,484100,1844900,6357000,1848000,82290000,1067900,1176675,2610750,214900
US,US-OH,OH-7,375100,337000,26924500,659100,2512500,8643000,2516500,112365000,1453300,1604100,3561000,292200
US,US-OH,OH-8,359400,323250,25882750,632250,2411700,8299000,2414000,107977500,1396100,1540425,3417750,280250
US,US-OH,OH-9,308000,277000,22135000,541750,2065500,7106000,2068500,92400000,1195000,1319475,2928000,240100
US,US-OK,OK-1,525200,472450,37684750,924025,3519900,12092000,3528500,157387500,2034400,2250000,4987500,408350
US,US-OK,OK-2,275000,247000,19708750,483075,1840000,6332000,1844500,82192500,1064400,1175400,2607000,213950
US,US-OK,OK-3,273100,245450,19622750,480025,1829400,6296000,1833000,81780000,1058200,1168875,2592000,212600
US,US-OK,OK-4,332500,298750,23855500,584300,2226000,7659000,2231000,99390000,1287300,1422150,3153750,258850
US,US-OK,OK-5,639000,572800,45873750,1120300,4265000,14669000,4277000,189690000,2464900,2720625,6031500,496000
US,US-OR,OR-1,452100,407300,32754250,796675,3044500,10601000,3040500,136882500,1776100,1944225,4315500,355900
US,US-OR,OR-2,488300,435500,35201000,851775,3246300,11265000,3250500,144487500,1886500,2066100,4593750,381500
US,US-OR,OR-3,518100,465200,37301750,909900,3470400,12028000,3473000,155137500,2016400,2216175,4920750,406200
US,US-OR,OR-4,337600,303100,24303750,592825,2260900,7833000,2263000,101055000,1313200,1443525,3207000,264700
US,US-OR,OR-5,432500,388650,31182000,760150,2900400,10059000,2901500,129840000,1686300,1852050,4113000,339250
US,US-PA,PA-1,1046300,935600,75874500,1829900,6978500,24202000,6984000,310882500,4053900,4437600,9864750,817000
US,US-PA,PA-10,516100,463000,37312500,905575,3453700,11959000,3456500,154305000,2005000,2201700,4890000,403400
US,US-PA,PA-11,429400,385900,31035000,754825,2880500,9976000,2881500,129015000,1672900,1838175,4085250,336250
US,US-PA,PA-12,409000,366800,29419750,717400,2734100,9460000,2738500,121912500,1586000,1744950,3884250,319400
US,US-PA,PA-13,358500,322100,25931000,629975,2404000,8328000,2404500,107632500,1396300,1533900,3408000,280700
US,US-PA,PA-14,433300,390700,31438000,764225,2921300,10142000,2917000,131482500,1700600,1865775,4145250,340550
US,US-PA,PA-15,283500,255200,20502750,499125,1905700,6605000,1905500,85507500,1107600,1217025,2703750,222200
US,US-PA,PA-16,441000,396000,31925750,774475,2955000,10242000,2956000,132240000,1717200,1883850,4188000,345300
US,US-PA,PA-17,440900,396000,31835000,774550,2955500,10239000,2956500,132285000,1716300,1885725,4192500,345100
US,US-PA,PA-18,806400,723750,58178500,1415600,5400500,18696000,5403500,241515000,3134400,3444075,7662000,631200
US,US-PA,PA-2,518700,465200,37369750,909900,3469500,11991000,3473000,154980000,2011400,2212275,4919250,405100
US,US-PA,PA-3,617300,552500,44354500,1080575,4116400,14209000,4124500,183142500,2383100,2623725,5835000,481200
US,US-PA,PA-4,713100,641000,51619000,1253700,4786200,16597000,4785500,214477500,2782700,3052800,6784500,559200
US,US-PA,PA-5,601100,540050,43409000,1056325,4031500,13971000,4032000,180525000,2342100,2572125,5716500,470700
US,US-PA,PA-6,680000,609350,49130750,1191800,4545400,15748000,4549000,202860000,2639600,2895975,6437250,531500
US,US-PA,PA-7,517000,464750,37365250,908975,3468700,12008000,3470000,155355000,2014000,2213250,4919250,404600
US,US-PA,PA-8,458300,411100,33132500,804025,3067500,10621000,3069000,137302500,1781300,1956000,4345500,358150
US,US-PA,PA-9,354000,318050,25591750,622075,2373900,8219000,2374500,106320000,1378600,1514550,3366000,277100
US,US-RI,RI-1,243400,218500,17471500,427350,1628900,5625000,1631500,72720000,943900,1040700,2312250,190450
US,US-RI,RI-2,214400,192500,15409250,376550,1435700,4964000,1437500,64147500,832700,916950,2037750,167950
US,US-SC,SC-1,863600,778400,61949750,1522475,5799400,19985000,5813000,259492500,3359400,3709125,8238000,675550
US,US-SC,SC-2,562500,508150,40310500,993850,3786100,13023000,3795000,169762500,2191000,2424525,5382000,439700
US,US-SC,SC-3,439500,396800,31511500,776100,2957800,10177000,2963500,132615000,1712000,1893525,4202250,343300
US,US-SC,SC-4,675400,610450,48467000,1193925,4550200,15666000,4558500,204292500,2636100,2913600,6468000,528400
US,US-SC,SC-5,813500,734400,58303750,1436375,5470700,18830000,5484500,245107500,3167800,3502275,7779000,636800
US,US-SC,SC-6,584900,527950,41842500,1032575,3931000,13515000,3943000,175920000,2272600,2517150,5592000,456600
US,US-SC,SC-7,775200,699800,55485250,1368675,5211400,17962000,5225500,233407500,3019800,3336525,7417500,608400
US,US-SD,SD-AT LARGE,316800,282350,22745250,552225,2101800,7276000,2107500,93067500,1218300,1336875,2970000,247250
US,US-TN,TN-1,773000,681150,55478750,1332250,5065400,17514000,5083000,223597500,2934500,3206100,7132500,597350
US,US-TN,TN-2,870500,766950,62435750,1500025,5703000,19712000,5723000,251722500,3303200,3609225,8031000,672600
US,US-TN,TN-3,758200,668100,54367000,1306725,4968300,17172000,4985500,219330000,2877700,3144375,6996000,585800
US,US-TN,TN-4,836600,739000,60077250,1445375,5496200,18969000,5515000,242947500,3181300,3481800,7741500,646100
US,US-TN,TN-5,1906400,1685000,137143750,3295625,12531200,43269000,12575500,553612500,7254500,7941525,17661000,1474000
US,US-TN,TN-6,777200,684300,55747250,1338425,5088300,17590000,5106500,224587500,2947300,3219600,7164000,600150
US,US-TN,TN-7,754100,665250,54173750,1301175,4947900,17092000,4964500,218595000,2865000,3133125,6970500,582800
US,US-TN,TN-8,597700,526350,42919500,1029425,3913800,13531000,3927500,172717500,2267300,2476125,5508750,461550
US,US-TN,TN-9,1222800,1084900,87970000,2121900,8071000,27791000,8098500,357660000,4666800,5123850,11379750,944250
US,US-TX,TX-1,322300,290050,23153250,567250,2161900,7433000,2166000,96682500,1250700,1382025,3064500,251150
US,US-TX,TX-10,677900,608850,48772500,1190825,4537600,15609000,4546500,202620000,2625100,2897400,6427500,527500
US,US-TX,TX-11,300200,269850,21568750,527750,2011200,6920000,2015000,89880000,1163600,1285125,2850000,233700
US,US-TX,TX-12,438600,395050,31525250,772600,2944800,10109000,2950000,131805000,1703200,1883400,4173750,341550
US,US-TX,TX-13,284600,255950,20452750,500625,1908200,6559000,1911500,85350000,1103600,1219725,2703750,221550
US,US-TX,TX-14,347200,312150,24950750,610475,2326500,8003000,2331000,103995000,1346100,1486425,3297000,270450
US,US-TX,TX-15,405400,365400,29179000,714625,2725200,9351000,2729000,122227500,1576700,1744500,3863250,315800
US,US-TX,TX-16,455900,410400,32722250,802650,3057700,10485000,3065000,136710000,1767000,1955325,4332750,354200
US,US-TX,TX-17,327300,293900,23537000,574850,2190200,7531000,2194500,97777500,1267000,1398825,3102000,254700
US,US-TX,TX-18,1184600,1067500,84916000,2087775,7948400,27198000,7972000,355200000,4586900,5079675,11261250,918900
US,US-TX,TX-19,275600,247550,19801000,484200,1844900,6349000,1848500,82372500,1067400,1178325,2614500,214600
US,US-TX,TX-2,464100,416750,33344000,815125,3105200,10679000,3112000,138585000,1796000,1982775,4400250,361300
US,US-TX,TX-20,334300,300000,24002250,586775,2234700,7683000,2240500,99690000,1292100,1427025,3164250,260000
US,US-TX,TX-21,590900,531450,42437500,1039450,3959900,13612000,3968500,176977500,2290400,2530200,5612250,460050
US,US-TX,TX-22,594600,533750,42805000,1043925,3977900,13693000,3985500,177480000,2302000,2538375,5634000,463050
US,US-TX,TX-23,601600,538050,43326750,1052325,4006800,13793000,4017000,178192500,2317900,2552925,5662500,467150
US,US-TX,TX-24,791000,710950,56938000,1390500,5301200,18238000,5309000,237075000,3068500,3387225,7511250,616500
US,US-TX,TX-25,749600,674550,53795500,1319350,5026000,17260000,5037500,224707500,2905500,3212700,7125750,583250
US,US-TX,TX-26,442100,397050,31755500,776600,2959300,10190000,2965000,132120000,1712800,1890300,4194750,344750
US,US-TX,TX-27,703600,632950,50447250,1237925,4714200,16174000,4726500,210570000,2723600,3013425,6682500,546900
US,US-TX,TX-28,472400,424650,33915500,830575,3164000,10861000,3171500,141337500,1828300,2022075,4481250,367200
US,US-TX,TX-29,316400,284350,22718000,556125,2118400,7278000,2123500,94597500,1224700,1353375,3001500,246100
US,US-TX,TX-3,577100,518300,41539000,1013750,3864000,13293000,3870500,172710000,2236100,2467350,5475750,449500
US,US-TX,TX-30,1029300,927100,73789000,1813175,6905200,23675000,6924000,308745000,3986900,4416750,9792750,799550
US,US-TX,TX-31,566500,506300,40802500,990225,3772200,12998000,3780000,167910000,2183700,2403000,5334750,440600
US,US-TX,TX-32,1228800,1101300,88443500,2153900,8200800,28193000,8223000,365175000,4739700,5229300,11603250,953300
US,US-TX,TX-33,412500,370900,29711000,725400,2766100,9518000,2769500,123757500,1601300,1767675,3918000,321550
US,US-TX,TX-34,248200,223000,17798250,436100,1661100,5704000,1665000,74175000,959800,1061475,2353500,193000
US,US-TX,TX-35,274100,246000,19678250,481150,1832500,6298000,1837000,81727500,1059300,1170150,2594250,213050
US,US-TX,TX-36,368200,330800,26460250,646950,2465400,8491000,2470000,110122500,1427000,1574700,3494250,287100
US,US-TX,TX-4,570400,512850,41037500,1003025,3823700,13164000,3829500,170970000,2213300,2442525,5416500,444300
US,US-TX,TX-5,553000,497350,39790000,972700,3708400,12758000,3714000,165892500,2145700,2369100,5251500,430450
US,US-TX,TX-6,557700,500900,40184500,979700,3735200,12862000,3740500,166920000,2162700,2385000,5287500,434600
US,US-TX,TX-7,1033600,926500,74539000,1812050,6904500,23735000,6918000,308002500,3995200,4404525,9765750,803450
US,US-TX,TX-8,465700,418200,33482250,817925,3117000,10743000,3122500,139125000,1805300,1990275,4416000,363250
US,US-TX,TX-9,409300,367250,29434500,718250,2735600,9406000,2742000,121972500,1581700,1745475,3871500,318150
US,US-UT,UT-1,425000,383100,30738000,749325,2863300,9894000,2860500,128685000,1660800,1830675,4052250,332700
US,US-UT,UT-2,883700,796350,63761750,1557475,5945900,20500000,5946500,266797500,3443600,3801375,8413500,689650
US,US-UT,UT-3,391300,352500,28288500,689425,2633500,9092000,2632000,118230000,1526700,1683150,3724500,305900
US,US-UT,UT-4,536500,482150,38848250,943050,3600500,12439000,3600000,161190000,2087300,2297475,5083500,418500
US,US-VA,VA-1,479600,430400,34438500,841750,3206400,11027000,3214000,143055000,1853300,2047125,4543500,372800
US,US-VA,VA-10,1173100,1042650,84589750,2039275,7761000,26747000,7784000,343852500,4486500,4931850,10958250,908300
US,US-VA,VA-11,922300,826100,66435250,1615700,6154000,21165000,6168500,274245000,3557600,3925650,8705250,715950
US,US-VA,VA-2,1122900,1004800,80737750,1965175,7481300,25729000,7502500,332767500,4323700,4768050,10590000,871500
US,US-VA,VA-3,427000,383850,30645750,750775,2859500,9819000,2867000,127657500,1651700,1827225,4052250,331750
US,US-VA,VA-4,704300,631450,50564000,1235050,4702600,16169000,4715500,209565000,2717200,3001800,6670500,547450
US,US-VA,VA-5,529800,473250,38139500,925550,3524000,12130000,3533000,156660000,2038000,2243700,4980000,411250
US,US-VA,VA-6,432300,389150,31043000,761125,2900900,9969000,2906500,129825000,1677300,1855350,4113000,336500
US,US-VA,VA-7,718700,638900,51778500,1249625,4753700,16395000,4770000,210510000,2748800,3020925,6726000,557150
US,US-VA,VA-8,1171100,1051300,84110500,2056175,7832900,26926000,7850500,349702500,4528600,5004225,11101500,910250
US,US-VA,VA-9,343200,308750,24601250,603850,2300300,7902000,2306000,102787500,1329400,1470825,3262500,266900
US,US-VT,VT-AT LARGE,466300,420950,33401500,823300,3136900,10744000,3144000,140655000,1810700,2008275,4452750,362450
US,US-WA,WA-1,601000,539650,43164250,1055475,4021400,13839000,4029500,179482500,2326200,2567625,5698500,468400
US,US-WA,WA-10,518500,465250,37262250,909975,3467200,11930000,3474000,154717500,2005700,2212800,4911000,403700
US,US-WA,WA-2,447100,402550,32087250,787300,3000600,10309000,3006000,134257500,1734900,1918650,4257750,348450
US,US-WA,WA-3,521600,467350,37546750,914025,3482300,12000000,3489500,155010000,2015600,2219100,4923750,405800
US,US-WA,WA-4,341900,307950,24531500,602300,2295200,7871000,2300000,102735000,1325900,1467225,3253500,265900
US,US-WA,WA-5,531200,472850,38044750,924850,3520400,12124000,3530000,156435000,2036300,2239275,4977000,412050
US,US-WA,WA-6,497800,448250,35726000,876650,3341400,11497000,3347000,149527500,1933700,2136375,4743750,388650
US,US-WA,WA-7,807000,724200,57934250,1416425,5395700,18561000,5407500,240577500,3120500,3445500,7647000,628500
US,US-WA,WA-8,764200,676400,55364500,1322975,5033200,17399000,5048500,222007500,2914000,3186975,7077000,591550
US,US-WA,WA-9,764400,686050,54993750,1341800,5113200,17592000,5122500,228330000,2958400,3263025,7242000,595100
US,US-WI,WI-1,688300,611850,49729000,1196675,4561100,15804000,4566500,202687500,2647700,2894925,6435750,535600
